,"Country,Other",TotalCases,NewCases,TotalDeaths
0,USA,"45,135,620",,"732,477 "
1,India,"33,935,309",+974,"450,408 "
2,Brazil,"21,550,730",,"600,493 "
3,UK,"8,081,300",,"137,541 "
4,Russia,"7,746,718","+29,362","215,453 "
5,Turkey,"7,387,537",,"65,778 "
6,France,"7,047,786",,"117,029 "
7,Iran,"5,683,980",,"122,197 "
8,Argentina,"5,265,058",,"115,444 "
9,Spain,"4,973,619",,"86,778 "
10,Colombia,"4,969,131",,"126,552 "
11,Italy,"4,695,291",,"131,228 "
12,Germany,"4,316,499",,"94,988 "
13,Indonesia,"4,225,871",,"142,560 "
14,Mexico,"3,714,392","+7,158","281,610 "
15,Poland,"2,920,874","+2,012","75,864 "
16,South Africa,"2,910,681",,"88,236 "
17,Philippines,"2,654,450","+11,010","39,505 "
18,Ukraine,"2,529,913","+15,908","58,331 "
19,Malaysia,"2,323,478",,"27,191 "
20,Peru,"2,183,025",,"199,615 "
21,Iraq,"2,020,882",,"22,509 "
22,Netherlands,"2,018,932",,"18,202 "
23,Japan,"1,709,609",+827,"17,902 "
24,Thailand,"1,700,067","+10,630","17,607 "
25,Czechia,"1,699,074","+1,017","30,499 "
26,Chile,"1,660,372",,"37,542 "
27,Canada,"1,655,380",,"28,186 "
28,Bangladesh,"1,561,463",,"27,654 "
29,Romania,"1,332,221",,"38,927 "
30,Israel,"1,302,777",,"7,885 "
31,Belgium,"1,261,102","+2,414","25,675 "
32,Pakistan,"1,257,188",+955,"28,087 "
33,Sweden,"1,157,822",,"14,864 "
34,Portugal,"1,074,109",,"18,027 "
35,Serbia,"994,708",,"8,631 "
36,Morocco,"938,286",,"14,427 "
37,Cuba,"911,337",,"7,777 "
38,Kazakhstan,"902,061","+1,940","11,489 "
39,Switzerland,"848,416",,"11,133 "
40,Jordan,"831,832",,"10,789 "
41,Vietnam,"831,643",,"20,337 "
42,Hungary,"827,410",,"30,275 "
43,Nepal,"800,997",,"11,210 "
44,Austria,"759,543","+1,868","11,090 "
45,UAE,"737,509",,"2,111 "
46,Tunisia,"709,456",,"24,996 "
47,Greece,"673,317",,"15,069  "
48,Georgia,"631,563","+2,844","9,221 "
49,Lebanon,"628,881",,"8,379 "
50,Guatemala,"576,818",,"13,938 "
51,Belarus,"553,795",,"4,259 "
52,Saudi Arabia,"547,497",,"8,739 "
53,Costa Rica,"544,021",,"6,612 "
54,Sri Lanka,"524,937",,"13,267 "
55,Bulgaria,"518,995",,"21,586 "
56,Ecuador,"511,699",,"32,836 "
57,Bolivia,"503,022",,"18,780 "
58,Azerbaijan,"490,130",,"6,638 "
59,Myanmar,"475,885",,"18,068 "
60,Panama,"468,740",,"7,260 "
61,Paraguay,"460,171",,"16,206 "
62,Slovakia,"424,407","+1,793","12,729 "
